A:C4 F:10 B:01 C:10 D:C0 E:0F H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:30 B:01 C:10 D:C0 E:10 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:30 B:01 C:10 D:C0 E:10 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:30 B:01 C:10 D:C0 E:10 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:30 B:01 C:10 D:C0 E:10 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:11 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:11 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:11 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:11 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:12 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:12 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:12 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:12 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:13 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:13 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:13 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:13 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:14 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:14 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:14 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:14 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:15 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:15 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:15 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:15 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:16 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:16 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:16 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:16 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:17 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:17 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:17 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:17 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:18 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:18 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:18 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:18 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:19 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:19 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:19 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:19 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:1A H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:1A H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:1A H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:1A H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:1B H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:1B H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:1B H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:1B H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:1C H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:1C H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:1C H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:1C H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:1D H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:1D H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:1D H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:1D H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:1E H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:1E H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:1E H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:1E H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:1F H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:1F H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:1F H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:1F H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:30 B:01 C:10 D:C0 E:20 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:30 B:01 C:10 D:C0 E:20 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:30 B:01 C:10 D:C0 E:20 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:30 B:01 C:10 D:C0 E:20 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:21 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:21 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:21 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:21 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:22 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:22 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:22 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:22 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:23 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:23 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:23 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:23 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:24 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:24 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:24 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:24 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:25 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:25 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:25 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:25 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:26 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:26 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:26 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:26 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:27 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:27 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:27 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:27 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:28 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
